glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.63,-79.49,0.22368937815926512,14,0,0.0,0.23732419975112126
43.63,-79.485,0.1092332196672199,7,0,0.0,0.11637979865994291
43.63,-79.48,0.3045482492536629,24,15,0.625,0.6656021042594904
43.63,-79.47500000000001,0.1576185400796555,3,0,0.0,0.1467147964294149
43.63,-79.435,0.1880948843921385,15,0,0.0,0.20920416248540682
43.63,-79.43,0.23418931850592695,4,0,0.0,0.2166219219021599
43.63,-79.425,0.25775645547644804,24,6,0.25,0.428068883160197
43.63,-79.42,0.1375025005155174,9,0,0.0,0.14706156428248932
43.63,-79.41,0.10865365935601919,11,0,0.0,0.12782478264096617
43.635,-79.57000000000001,0.19379812787364595,12,3,0.25,0.33631784135890547
43.635,-79.565,0.20342160586742541,7,2,0.2857142857142857,0.34851650391997924
43.635,-79.56,0.1091097222914642,6,0,0.0,0.11328399467653084
43.635,-79.555,0.10665905549518791,5,0,0.0,0.10815435427437413
43.635,-79.545,0.1641285587815586,2,0,0.0,0.14941637293068302
43.635,-79.54,0.20664873999658595,4,2,0.5,0.45473861816479655
43.635,-79.53,0.42662759886023477,3,3,1.0,0.9061877666318022
43.635,-79.525,0.08292669407634419,5,0,0.0,0.08741338864856381
43.635,-79.52,0.35372833585284585,1,1,1.0,0.8365014995394927
43.635,-79.515,0.08104594431927799,2,0,0.0,0.07680608269229289
43.635,-79.505,0.06658599533515241,3,0,0.0,0.06715664172018282
43.635,-79.47500000000001,0.1314670608368981,37,2,0.05405405405405406,0.2537917388306881
43.635,-79.47,0.24922613961828627,26,7,0.2692307692307692,0.43667360693505036
43.635,-79.465,0.26679810182803904,13,6,0.46153846153846156,0.5140290406708627
43.635,-79.45,0.22114462014028924,3,0,0.0,0.20223359709262656
43.635,-79.44500000000001,0.2728868463130684,23,3,0.13043478260869565,0.37560763902423966
43.635,-79.44,0.2562778298308783,46,17,0.3695652173913043,0.5552064618289215
43.635,-79.435,0.25611561039006575,71,13,0.18309859154929578,0.5319836902083961
43.635,-79.43,0.30978973716517083,9,3,0.3333333333333333,0.4724230671688965
43.635,-79.425,0.19168474229088145,4,0,0.0,0.17947492507967316
43.635,-79.42,0.10911101380776725,4,0,0.0,0.10730937720868045
43.635,-79.415,0.16018823017317838,10,0,0.0,0.16987569616179207
43.635,-79.41,0.13091025150348876,24,1,0.041666666666666664,0.2079671677259111
43.635,-79.405,0.19504929121587294,7,0,0.0,0.1913790015930075
43.635,-79.4,0.3096249641572309,48,6,0.125,0.47956200399575677
43.635,-79.395,0.475776126203961,3,0,0.0,0.42476953531247547
43.64,-79.58500000000001,0.12049366495905045,11,1,0.09090909090909091,0.18584254676873116
43.64,-79.58,0.14962177773961316,2,0,0.0,0.1367381298506142
43.64,-79.575,0.14602359076851093,2,0,0.0,0.1335934839822257
43.64,-79.565,0.1739701041168356,5,0,0.0,0.16698103911452364
43.64,-79.56,0.12168854506936098,3,0,0.0,0.11531367378966186
43.64,-79.555,0.22768055212363425,2,0,0.0,0.20495782058085704
43.64,-79.55,0.11139933102571907,12,0,0.0,0.13321224340204707
43.64,-79.545,0.1290845679914463,4,0,0.0,0.12476532242363965
43.64,-79.54,0.27753485414056284,9,2,0.2222222222222222,0.3859702938612422
43.64,-79.535,0.11199949657900252,8,0,0.0,0.12178526743169782
43.64,-79.52,0.16463231984011906,12,2,0.16666666666666666,0.2671306553817386
43.64,-79.51,0.16097689841873936,1,0,0.0,0.14367409718175303
43.64,-79.49,0.06247305461159208,1,0,0.0,0.05758637913478201
43.64,-79.46000000000001,0.3387312189786936,13,11,0.8461538461538461,0.7785766296045691
43.64,-79.455,0.24402259272652993,22,8,0.36363636363636365,0.46967808446129505
43.64,-79.45,0.2872558947513558,10,3,0.3,0.4382383661638124
43.64,-79.44500000000001,0.20535604233596758,16,0,0.0,0.22727747428929995
43.64,-79.44,0.2992736670672365,13,4,0.3076923076923077,0.4617385808659897
43.64,-79.435,0.3434281048379297,43,8,0.18604651162790697,0.5261760555001481
43.64,-79.43,0.22794049088478707,33,3,0.09090909090909091,0.34547921791421954
43.64,-79.425,0.2202238167348499,12,1,0.08333333333333333,0.27201736019984213
43.64,-79.415,0.16271253520675893,12,0,0.0,0.17805756600968617
